LengthLeaf,WidthLeaf,L/W,L/V,ApicalAngle,SecondaryVeins,species,ID
13.5811219,18.14046875,2.529246373,0.2676930752,121.4995,51,exaltata,4069430
13.60972755,14.227947916666665,2.625830761,0.4078344992,59.8565,33,exaltata,4211823
15.927944440000001,14.53671875,2.996795605,0.4867600163,42.9085,33,exaltata,4215950
11.309250165,11.125802083333333,2.788676253,0.4930938663,62.685,23,exaltata,4221545
18.435455830000002,17.89284375,2.834850708,0.808505399,54.164,24,exaltata,4265842
17.69676883,5.894802083333334,3.065531415,0.6941202361,49.3185,26,exaltata,4432127
16.042079,4.525177083333333,3.640510769,0.8077845117,53.286,20,exaltata,4432129
13.217495164999999,4.872916666666667,7.298327315,0.9811227777,60.5225,13,exaltata,4432131
16.425577435,4.86759375,3.391469086,0.8102352404,53.775,20,exaltata,4432137
13.612519675000001,6.73184375,2.035386576,0.4615746737,72.9035,29,exaltata,4432143
13.553329569999999,5.907895833333334,2.327824161,0.5002090523,64.917,27,exaltata,4432146
15.339922765,13.553364583333334,3.351145569,0.5384048472,47.2615,30,exaltata,5470310
18.724241705,17.72039583333333,3.01850899,0.5769457559,48.111,32,exaltata,5470355
16.363023995,18.964489583333332,2.58960351,0.8000768187,68.882,23,exaltata,5470388
12.753563830000001,11.048979166666667,2.38507406,0.6128852911,49.2965,21,exaltata,5779889
13.867478250000001,15.380281250000001,2.638083076,0.7295901391,47.338,20,exaltata,6811807
21.23713617,23.07411458333333,2.578322564,0.8174738837,47.2955,26,exaltata,7137240
16.46986114,24.127864583333334,2.006613688,0.7842791018,68.785,21,exaltata,7149212
13.917323505,21.58965625,1.663879977,0.5485264168,97.71,25,exaltata,7344098
19.684123665,24.258177083333333,2.074063024,0.8643827966,75.101,23,exaltata,7344258
23.047441874999997,22.590520833333333,2.60260507,0.7812508999,47.173,29,exaltata,7344259
19.063770235,21.283458333333332,2.353274626,0.7804233308,48.7555,24,exaltata,8546467
13.154691745,11.968104166666668,3.268314162,0.5958708154,38.636,22,exaltata,8704152
16.047991915,12.209572916666668,3.878774724,0.5806301693,22.115,28,exaltata,8704153
15.577702995,15.607062499999998,2.525751094,0.6641859964,20.6205,23,exaltata,9462747
16.617235524999998,15.838458333333334,2.863051731,0.4672809308,15.238,36,exaltata,9503440
16.11894052,11.575802083333334,3.721220368,0.4997918329,25.881,32,exaltata,9535417
10.262975355,7.501333333333334,3.681888958,0.7134518856,28.6345,16,exaltata,9785472
10.1506916935,10.554656249999999,2.243027367,0.6031311774,44.597,18,exaltata,9786972
12.008398660000001,13.255291666666666,2.607486523,0.4950406806,20.525,25,exaltata,11164025
17.231720155,23.21739583333333,2.819059795,0.7010775677,20.878,25,exaltata,12251187
20.370366895,34.73434375,2.159475589,0.6210345879,74.567,33,exaltata,12251289
19.045194405,24.150385416666666,2.82346776,0.7869765557,60.7465,25,exaltata,12251291
13.03387088,18.720510416666666,2.583800643,0.7889813792,57.311,16,exaltata,12251295
16.724028405,22.959812499999998,2.669930416,0.4576270789,43.035,36,exaltata,12251300
21.96485773,33.559010416666666,2.428663235,0.6754070285,53.4035,32,exaltata,12251305
16.33589312,23.168416666666662,2.973467684,0.6999833917,50.658,24,exaltata,12251307
17.44356655,33.61657291666666,1.90352316,0.6350884806,69.5885,27,exaltata,12251317
18.5301918,28.715104166666663,2.377490777,0.8262141036,68.2115,23,exaltata,12251318
16.43209637,24.595979166666666,2.567363652,0.7347408508,56.316,22,exaltata,12251331
15.052863925,26.609416666666664,2.070222639,0.3543638782,107.031,42,exaltata,12251332
15.0459452,17.487822916666666,3.300101329,0.7016303991,45.459,21,exaltata,12251547
17.67218274,24.97525,2.587278599,1.079307755,59.617,17,exaltata,12251555
16.37480665,21.76365625,2.822166467,0.6525275663,49.5895,25,exaltata,12251557
19.638572955,33.09582291666667,2.172786972,0.9819286478,60.698,20,exaltata,12251559
17.41008868,23.481364583333335,2.817546734,0.7920814529,50.264,23,exaltata,12251562
12.63858083,16.515041666666665,2.825932855,0.5517686067,43.24,23,exaltata,12251564
17.224354585,24.251541666666668,2.644153425,0.6725238541,54.7355,25,exaltata,12251571
14.733156000000001,31.205458333333336,1.741892266,0.6855499635,64.1615,21,exaltata,12251577
11.1554217005,24.931010416666666,1.670407085,0.7075574025,123.547,16,exaltata,12251580
13.66756724,24.088760416666663,2.101737401,0.6439582207,53.0545,21,exaltata,12318721
19.368043980000003,30.711468749999998,2.321898354,0.8417436153,66.9225,23,exaltata,12318722
15.1300278,24.139968749999998,2.301834462,0.9191616038,58.747,17,exaltata,12325187
14.9089517,16.623864583333333,3.285889676,0.6795749282,44.0855,22,exaltata,12327858
18.966818015,23.28525,2.9669512,1.005811611,43.0405,19,exaltata,12327864
14.30258737,19.26364583333333,2.767576173,0.6126879609,47.5475,23,exaltata,12333471
18.71334068,28.48210416666667,2.412715387,0.7917465067,52.1735,24,exaltata,12339322
12.60558814,19.524333333333335,2.372711244,0.9086876555,46.7235,14,exaltata,12342005
17.09207169,13.582614583333333,4.651936226,0.3922126053,28.6865,43,exaltata,12344352
14.672542909999999,21.308364583333333,2.558050888,0.5291853853,43.3525,28,exaltata,12344946
18.25926067,26.96348958333333,2.554975223,0.5381323753,48.908,34,exaltata,12350352
18.525208355,24.545885416666664,2.766117486,0.5492138826,57.7715,37,exaltata,12350934
8.636376546000001,12.551708333333332,2.523961167,0.616884039,43.7855,14,exaltata,12354248
13.89119108,14.772979166666667,2.574068849,0.5658869753,56.6775,25,exaltata,13297757
18.19962201,15.953281249999998,3.1221769,0.5060061502,61.339,36,exaltata,13297772
13.546077415,17.151364583333333,2.474233563,0.4096669344,56.3755,33,exaltata,14623069
13.496876625,16.26309375,2.596999114,0.7412810094,59.473,19,exaltata,14623126
13.216351894999999,14.258802083333334,2.941789085,0.4428186848,41.7025,30,exaltata,14623128
18.727475605000002,29.678229166666668,1.989878715,0.5422817908,67.4345,35,exaltata,14623129
16.93665342,19.554364583333335,2.730732553,0.4891515461,53.927,36,exaltata,14623133
16.22675833,23.278489583333336,2.783744274,0.6614400307,50.3895,24,exaltata,15737681
16.927048900000003,24.530166666666663,2.753202237,0.5176411843,67.6315,34,exaltata,15737683
14.424338635000002,28.41795833333333,2.030462962,0.9427855951,58.149,15,exaltata,15737697
10.724590205,18.65934375,2.398032676,0.8161882842,69.397,13,exaltata,15737669
22.557300955000002,40.644375000000004,2.213250966,0.7918335571,54.7185,29,exaltata,15737700
17.289161630000002,15.039604166666669,3.16850962,0.6174700583,47.7335,28,exaltata,15795762
15.652010924999999,16.681864583333333,2.587070246,1.089556048,78.3145,14,exaltata,16891267
19.362496235000002,18.187375,2.950188186,0.9943042763,49.8455,19,exaltata,16932225
22.85670364,22.28497916666667,2.676273691,1.387338544,52.799,16,exaltata,17021602
18.672524000000003,25.605229166666664,2.586350256,0.8514684638,51.3485,22,exaltata,17171817
17.657679995000002,24.15517708333333,2.604828181,0.7666911237,54.0375,24,exaltata,17171818
19.479606165,13.377375,3.044505626,0.8036569768,39.143,25,exaltata,19330844
15.277838545,6.0919687499999995,2.520426603,0.6555258041,41.251,24,exaltata,19605451
17.64270969,6.285260416666667,2.816461355,0.7848161451,51.713,22,exaltata,19605452
15.99475597,6.888541666666666,2.366531191,0.7860609207,59.361,21,exaltata,19605454
16.617811335,8.1785625,2.039581902,0.6529107228,65.3695,26,exaltata,19605455
16.450031055,8.408531250000001,1.970240273,0.6890446905,63.217,25,exaltata,19605471
12.98318795,5.4271875,2.665681419,0.3818584692,49.7425,34,exaltata,19605472
11.564528755000001,4.67596875,2.482351246,0.3759364912,45.8085,31,exaltata,19605474
10.9308128075,6.382104166666667,1.478639322,0.3952499714,56.9575,27,exaltata,19605475
13.106144265000001,4.49275,2.925344171,0.3442178138,40.626,39,exaltata,19605479
13.88965679,5.8695208333333335,2.393809879,0.5980712324,54.6615,24,exaltata,19605484
13.456732939999998,6.8933333333333335,1.97362074,0.4946115885,79.6145,28,exaltata,19605487
13.458632125,4.267989583333333,3.198316548,0.5324005407,47.83,25,exaltata,19605491
11.838184649999999,4.3668125,2.724315636,0.3485636238,45.8645,34,exaltata,19605495
19.809127725,6.349552083333333,3.134243852,0.4658079719,47.9825,43,exaltata,19605498
9.8770062375,3.67246875,2.710082716,0.5920057706,57.653,19,exaltata,19605506
10.642427092,2.499416666666667,4.494794485,0.6021959021,35.7565,19,exaltata,19605572
14.519640169999999,6.879875000000001,2.122749774,0.4948058033,60.168,29,exaltata,19605765
19.764916495,7.6414895833333345,2.590853878,0.4914473681,48.6445,41,exaltata,19605768
18.84746888,6.808197916666667,2.784051666,0.5168928979,46.0365,38,exaltata,19605769
16.86740791,19.41196875,3.474814769,0.6875091009,42.214,25,exaltata,19941670
13.82009826,20.500614583333334,3.168705726,0.3425243873,45.049,40,exaltata,19941672
17.2631196,32.09985416666667,2.154497805,0.6639661385,55.162,26,exaltata,19941673
20.760239695,14.955989583333334,3.851826125,0.703984034,37.2845,29,exaltata,20892205
16.638125,16.6220625,2.758999004,0.716712697,47.6955,23,exaltata,20892207
13.582578000000002,11.127843750000002,3.806271614,0.5659407499,43.3715,24,exaltata,20892208
11.67149475,12.573500000000001,2.559330149,0.5235340194,48.306,22,exaltata,20892210
16.90482152,16.2783125,2.929046945,0.6761928607,50.503,25,exaltata,20892212
18.564019915,25.917875,1.847575599,0.7773002415,69.7665,24,exaltata,21166347
17.539348515,12.211833333333333,4.20366998,0.44545515,30.438,40,exaltata,21166359
17.86567428,17.921552083333335,2.574203493,0.4696666018,51.4075,38,exaltata,21166445
14.06874667,31.068458333333336,1.774038558,0.4922812612,77.1485,29,exaltata,21622979
17.52017777,23.38054166666667,2.950125685,0.641027036,53.0585,28,exaltata,21623012
17.55837845,39.21492708333333,1.757774109,1.004590653,82.7605,17,exaltata,21623013
14.21933369,25.358833333333337,2.201567184,1.039155051,67.4755,14,exaltata,21623014
13.869051505,21.919750000000004,2.483671814,0.5782455773,47.1885,24,exaltata,21623017
17.689019700000003,23.721666666666668,2.957765296,0.742674762,41.09,24,exaltata,21623018
13.2883466,19.9260625,2.646989194,0.7775853095,62.3635,19,exaltata,21623019
19.292884819999998,25.4835625,2.973035205,0.8029941993,44.2585,24,exaltata,21623020
19.794233554999998,25.599197916666668,2.48087475,1.183110828,40.407,17,exaltata,21770041
19.02314717,31.76490625,1.923049864,1.118639253,65.9985,17,exaltata,21770485
19.555805095,23.616875000000004,2.663740606,0.6017241726,70.2055,32,exaltata,21770770
16.347115785,21.399885416666667,1.974831387,0.9383400128,59.76,17,exaltata,2216673
13.014348705,17.692947916666668,1.898552626,0.8199858561,68.0765,17,exaltata,23084165
10.888740625,12.067145833333333,2.313299234,0.4949427558,43.3775,22,exaltata,23241108
14.47614821,15.958666666666666,2.320527869,0.7069770533,58.1375,20,exaltata,23241117
14.988957035,19.37692708333333,1.992662084,0.7505235863,69.56,20,exaltata,23241122
21.361233505,31.8223125,1.728553016,1.357515493,76.567,16,exaltata,23241127
13.04834222,13.079489583333332,2.556672889,0.4961743805,51.087,26,exaltata,23241128
14.809658675000001,19.93097916666667,1.93364236,0.4562866237,71.657,32,exaltata,23241133
16.30652209,20.98601041666667,1.996788334,0.4796035909,58.3005,34,exaltata,23241139
