LengthLeaf,WidthLeaf,L/W,L/V,ApicalAngle,SecondaryVeins,species,ID
18.56869789,9.899660726,1.875690329,0.3094782981,134.454,60,syriaca,MMP17
15.50215187,6.932423792,2.23618064,0.3039637622,112.038,51,syriaca,MMP20
12.86987902,6.373014897,2.01943338,0.2573975803,112.633,50,syriaca,MMP1
20.09300932,11.55442226,1.738988663,0.4186043609,153.754,48,syriaca,MMP19
19.16688593,8.02238251,2.389176272,0.4791721484,107.886,40,syriaca,PNR1
15.93569965,7.685006233,2.073609203,0.3319937427,116.94,48,syriaca,PNR3
14.64164272,7.08106977,2.067716207,0.5631401047,36.891,26,exaltata,PTW1
21.37228346,10.29271654,2.0764473,0.890511811,26.255,24,exaltata,PTW2
17.86305844,7.985578327,2.236914812,0.8506218307,32.183,21,exaltata,PTW3
16.82138077,10.00031367,1.682085315,0.9345211541,39.472,18,exaltata,PTW4
18.85971186,9.795471283,1.925350125,0.725373533,30.534,26,exaltata,PTW5
18.07104104,7.918505993,2.282127595,0.6950400399,24.025,26,exaltata,PTW6
13.95353846,8.512865385,1.639111842,0.8207963801,29.358,17,exaltata,PTW7
15.95317413,8.112487562,1.966495974,0.5501094527,30.211,29,exaltata,PTW8
17.97623266,8.447735676,2.127935029,0.4085507423,49.635,44,exaltata,PTW9
17.22596071,7.555704468,2.27986163,1.14839738,35.144,15,exaltata,PTW10
18.98521894,9.4073275,2.018130966,0.3955253945,82.195,48,syriaca,RGT1
15.05518943,6.641319302,2.266897396,0.3203231794,123.219,47,syriaca,RGT2
13.46732985,5.941725065,2.266569001,0.2748434663,119.138,49,syriaca,RGT3
14.25218638,6.166077879,2.311386049,0.2969205497,96.984,48,syriaca,RGT4
12.53942989,5.142548632,2.438368752,0.2786539975,82.655,45,syriaca,RGT5
23.98136105,11.17088927,2.146772783,0.386796146,109.401,62,syriaca,RGT6
21.87895045,9.77334205,2.238635499,0.4558114678,108.328,48,syriaca,RGT7
15.21417411,6.70548852,2.268913601,0.8452318948,22.777,18,exaltata,RRL1
20.40877006,6.680214892,3.055106818,0.8873378288,34.862,23,exaltata,RRL2
17.68755812,7.62479067,2.319743437,0.5895852705,45.0,30,exaltata,RRL3
14.12349194,6.177807128,2.286165892,0.6419769065,39.806,22,exaltata,RRL4
