ID,Label,SupervisedResult,UnsupervisedResult,Flagged
23241257,exaltata,exaltata,exaltata,
23241262,exaltata,exaltata,exaltata,
23241263,exaltata,exaltata,exaltata,
23241274,exaltata,exaltata,exaltata,
23241282,exaltata,exaltata,exaltata,
23241288,exaltata,exaltata,exaltata,
23241289,exaltata,exaltata,exaltata,
24091329,exaltata,syriaca,syriaca,True
24583489,exaltata,exaltata,exaltata,
24720948,exaltata,exaltata,exaltata,
24721334,exaltata,exaltata,exaltata,
24721449,exaltata,exaltata,exaltata,
24721461,exaltata,exaltata,exaltata,
24721665,exaltata,exaltata,exaltata,
24721753,exaltata,exaltata,exaltata,
24721758,exaltata,exaltata,exaltata,
24732510,exaltata,exaltata,syriaca,
24738421,exaltata,exaltata,exaltata,
3081838,syriaca,syriaca,syriaca,
3081870,syriaca,syriaca,syriaca,
3285873,syriaca,syriaca,exaltata,
3285874,syriaca,syriaca,syriaca,
3285875,syriaca,exaltata,syriaca,
3285876,syriaca,syriaca,syriaca,
4069036,syriaca,syriaca,syriaca,
4069039,syriaca,syriaca,syriaca,
4069043,syriaca,syriaca,syriaca,
4211845,syriaca,syriaca,syriaca,
4211846,syriaca,exaltata,exaltata,True
4211847,syriaca,syriaca,syriaca,
4211848,syriaca,syriaca,syriaca,
4211849,syriaca,syriaca,syriaca,
4226638,syriaca,syriaca,syriaca,
4244701,syriaca,syriaca,syriaca,
4244763,syriaca,syriaca,syriaca,
4245627,syriaca,syriaca,syriaca,
4246104,syriaca,syriaca,syriaca,
4246242,syriaca,syriaca,syriaca,
4253019,syriaca,syriaca,syriaca,
4253555,syriaca,syriaca,syriaca,
4432416,syriaca,syriaca,syriaca,
4432417,syriaca,syriaca,syriaca,
4432418,syriaca,syriaca,syriaca,
4217515,syriaca,syriaca,syriaca,
4264064,syriaca,syriaca,syriaca,
4265210,syriaca,syriaca,syriaca,
4266615,syriaca,syriaca,syriaca,
4291196,syriaca,syriaca,syriaca,
4432412,syriaca,syriaca,exaltata,
4432413,syriaca,syriaca,syriaca,
4432414,syriaca,syriaca,syriaca,
4432432,syriaca,syriaca,syriaca,
4432435,syriaca,syriaca,syriaca,
4432446,syriaca,syriaca,syriaca,
4432447,syriaca,syriaca,syriaca,
4600623,syriaca,syriaca,syriaca,
4600633,syriaca,syriaca,syriaca,
4987656,syriaca,syriaca,syriaca,
5069317,syriaca,syriaca,syriaca,
5083878,syriaca,syriaca,syriaca,
5103748,syriaca,syriaca,syriaca,
5124947,syriaca,syriaca,syriaca,
5138120,syriaca,syriaca,syriaca,
5138236,syriaca,syriaca,exaltata,
5143623,syriaca,syriaca,syriaca,
5167503,syriaca,exaltata,exaltata,True
5168344,syriaca,syriaca,syriaca,
5231641,syriaca,exaltata,syriaca,
5252391,syriaca,syriaca,syriaca,
5271152,syriaca,syriaca,syriaca,
5271551,syriaca,exaltata,exaltata,True
5280467,syriaca,syriaca,syriaca,
5472355,syriaca,syriaca,syriaca,
5472399,syriaca,syriaca,syriaca,
5472565,syriaca,syriaca,exaltata,
5526662,syriaca,syriaca,exaltata,
5625325,syriaca,syriaca,syriaca,
